dif_lifespan,mass,exercise,alcohol,sugar,bmi,smoking few,smoking some,smoking more,smoking alot,smoking most
-0.8000000000000114,99.7,0.9,2.4,27.6,29.130752373995616,False,False,False,False,False
-1.0,105.4,1.8,0.4,16.8,35.62736614386155,False,True,False,False,False
-1.7000000000000028,111.4,1.1,4.6,30.0,35.963326446280995,True,False,False,False,False
-1.7999999999999972,111.4,4.7,1.0,11.6,41.41879833432482,False,False,True,False,False
-3.700000000000003,71.6,1.5,4.9,22.0,22.59815679838404,False,True,False,False,False
-0.7000000000000028,54.3,1.8,2.1,32.0,14.729817708333332,True,False,False,False,False
2.700000000000003,91.6,4.3,0.2,24.0,28.2716049382716,True,False,False,False,False
-7.3999999999999915,127.9,2.6,1.7,14.8,37.37034331628926,False,False,False,False,True
-6.0,68.0,1.9,5.1,28.4,18.63983991666895,False,False,False,True,False
-1.2000000000000028,118.1,3.7,1.2,24.4,43.90987507436051,True,False,False,False,False
-2.8000000000000114,94.3,2.0,5.1,25.6,26.121883656509695,False,True,False,False,False
-1.7999999999999972,86.4,1.9,4.8,40.4,19.04384050783575,True,False,False,False,False
-5.700000000000003,106.6,0.7,1.0,31.6,38.22295528703073,False,False,True,False,False
-1.9000000000000057,57.3,3.0,1.0,25.2,17.490308598638624,False,False,True,False,False
-0.7000000000000028,107.1,1.9,4.0,21.2,34.575154958677686,True,False,False,False,False
-2.5,109.1,1.7,0.7,19.6,29.905978454537976,False,False,True,False,False
-4.799999999999997,78.4,1.6,5.0,50.8,25.6,False,False,True,False,False
-7.400000000000006,125.6,1.8,4.8,18.4,34.42888078725912,False,False,False,True,False
-2.0,117.4,4.6,1.3,14.8,37.053402348188364,False,False,False,False,True
-0.3999999999999915,85.7,3.6,4.5,4.0,27.983673469387757,False,False,True,False,False
0.4000000000000057,60.9,3.4,4.0,31.6,23.205304069501594,True,False,False,False,False
-4.8999999999999915,97.9,3.3,3.5,38.4,30.898876404494384,False,False,False,True,False
-5.1000000000000085,127.1,3.0,5.7,38.8,43.979238754325266,False,False,True,False,False
-1.9000000000000057,51.9,1.8,5.3,34.0,15.16435354273192,True,False,False,False,False
1.2999999999999972,84.3,4.1,3.0,54.8,26.018518518518515,True,False,False,False,False
-1.8999999999999915,121.9,4.1,5.6,9.6,41.688040764679734,True,False,False,False,False
-3.3999999999999915,81.8,1.6,0.3,21.6,22.65927977839335,False,False,False,True,False
-5.0,122.9,1.2,5.7,30.4,38.357104959270934,False,False,True,False,False
-9.699999999999996,105.5,2.2,5.6,39.6,41.73094418733436,False,False,False,True,False
-1.5,63.7,1.8,2.3,23.6,17.832647462277095,True,False,False,False,False
-1.0999999999999943,56.9,2.4,4.6,20.4,16.806474480151227,True,False,False,False,False
1.0,87.1,3.5,4.9,34.0,21.558872305140966,True,False,False,False,False
-6.599999999999994,127.7,1.6,1.5,34.0,44.71131963166557,False,False,False,True,False
-1.5,103.9,2.4,5.2,42.8,34.317611309287884,True,False,False,False,False
-1.6000000000000085,87.9,1.8,5.1,44.0,33.493369913123,False,False,False,True,False
-2.5,79.5,3.9,4.3,32.8,25.665030991735538,False,False,False,False,True
-2.4000000000000057,129.9,1.2,4.5,16.0,30.024963017751478,True,False,False,False,False
-0.29999999999999716,72.9,1.2,1.5,35.6,17.517301038062286,True,False,False,False,False
-0.5,97.0,3.0,1.3,22.4,31.31456611570248,True,False,False,False,False
-4.5,98.5,1.2,2.2,31.6,26.719835069444446,False,False,False,True,False
-2.799999999999997,81.3,1.2,2.0,32.8,25.950397395384464,False,False,True,False,False
-2.0999999999999943,137.6,3.5,2.1,33.2,43.428859992425195,False,True,False,False,False
-5.200000000000003,99.9,0.9,4.2,9.2,32.99643281807372,False,False,True,False,False
-6.199999999999996,105.5,4.6,2.9,7.2,33.67486992881994,False,False,False,False,True
0.9000000000000057,70.3,3.9,0.8,32.4,24.325259515570934,True,False,False,False,False
-5.299999999999997,105.8,2.5,4.4,44.0,33.770627852788145,False,False,True,False,False
0.6000000000000085,96.8,3.4,4.4,19.2,28.591682419659733,True,False,False,False,False
-2.8999999999999915,123.3,1.6,0.4,54.4,38.48194500795855,False,True,False,False,False
-3.0999999999999943,64.4,2.0,2.0,14.0,20.79028925619835,False,False,False,True,False
-3.4000000000000057,58.6,2.0,2.3,26.0,20.51748888344246,False,False,True,False,False
-5.3999999999999915,138.9,1.4,4.5,31.2,38.88468967834048,False,False,True,False,False
-0.8999999999999915,78.2,1.1,5.0,18.8,19.35595653572932,True,False,False,False,False
0.0,56.7,2.0,2.0,32.4,18.727705112960763,True,False,False,False,False
-1.1999999999999886,85.4,3.1,6.0,21.2,21.35,False,True,False,False,False
-1.2999999999999972,57.0,2.9,5.0,21.6,16.127206880941603,True,False,False,False,False
-2.299999999999997,63.9,1.8,0.1,45.6,22.912259313707914,False,False,True,False,False
2.0999999999999943,82.0,3.8,2.4,16.8,20.70654781444913,True,False,False,False,False
-1.1999999999999886,108.7,2.7,0.2,28.4,33.92528323086046,False,False,False,False,True
0.5999999999999943,68.4,2.2,1.2,28.4,25.744288456471832,True,False,False,False,False
-1.1000000000000085,95.7,1.8,0.3,45.6,33.50723013900074,False,True,False,False,False
1.0,103.6,2.1,0.5,13.6,29.62624038434041,True,False,False,False,False
-1.2999999999999972,77.4,3.6,1.5,33.2,27.099891460383045,False,False,True,False,False
-0.6999999999999886,53.0,4.4,0.7,14.4,13.25,False,False,True,False,False
-2.1999999999999886,74.6,2.9,4.7,18.0,19.41899208663057,False,False,False,True,False
-1.5,102.8,1.2,0.9,21.2,35.156116411887425,True,False,False,False,False
-8.0,142.3,1.2,0.4,32.0,48.66454635614378,False,False,False,True,False
-5.299999999999997,86.1,2.8,5.1,26.8,23.11471448897957,False,False,False,True,False
-1.2999999999999972,64.2,3.8,3.3,12.4,16.542554562086114,False,False,True,False,False
-1.5999999999999943,62.6,3.5,1.4,12.4,15.494665973614518,False,False,True,False,False
-1.9000000000000057,95.3,4.0,4.7,24.0,28.770679869580967,False,True,False,False,False
-3.200000000000003,85.5,2.5,5.7,38.8,26.68456040697856,False,True,False,False,False
1.5,92.3,3.0,2.4,20.8,28.48765432098765,True,False,False,False,False
-3.3999999999999915,70.0,2.0,3.9,40.4,24.801587301587304,False,False,False,True,False
-0.6999999999999886,135.6,3.7,4.8,24.0,32.26650803093397,True,False,False,False,False
-1.9000000000000057,74.2,3.7,4.0,29.6,21.68005843681519,False,False,True,False,False
-1.3999999999999915,107.1,3.2,4.8,39.2,30.9573361082206,False,False,True,False,False
-3.5999999999999943,59.6,2.3,1.3,6.8,17.603969754253306,False,False,False,True,False
-5.3999999999999915,105.0,4.3,4.5,32.0,39.03926234384296,False,False,False,True,False
-0.5999999999999943,68.0,2.7,4.9,19.6,23.80869017191275,False,True,False,False,False
-8.100000000000009,143.3,0.2,2.1,41.2,45.22787526827421,False,False,True,False,False
-1.7999999999999972,109.9,1.5,5.1,35.2,32.11102994886779,True,False,False,False,False
-2.0,115.1,1.3,0.4,28.4,39.36253890085838,True,False,False,False,False
