lifespan,genetic,exercise,alcohol,sugar,bmi norm under,bmi norm over,smoking few,smoking some,smoking more,smoking alot,smoking most
73.1,73.9,0.9,2.4,27.6,0.0,4.130752373995616,False,False,False,False,False
85.0,86.0,1.8,0.4,16.8,0.0,10.62736614386155,False,True,False,False,False
81.6,83.3,1.1,4.6,30.0,0.0,10.963326446280995,True,False,False,False,False
81.0,82.8,4.7,1.0,11.6,0.0,16.41879833432482,False,False,True,False,False
75.0,78.7,1.5,4.9,22.0,0.0,0.0,False,True,False,False,False
87.5,88.2,1.8,2.1,32.0,-3.770182291666668,0.0,True,False,False,False,False
86.8,84.1,4.3,0.2,24.0,0.0,3.271604938271601,True,False,False,False,False
69.4,76.8,2.6,1.7,14.8,0.0,12.370343316289258,False,False,False,False,True
86.1,92.1,1.9,5.1,28.4,0.0,0.0,False,False,False,True,False
77.8,79.0,3.7,1.2,24.4,0.0,18.909875074360507,True,False,False,False,False
82.1,84.9,2.0,5.1,25.6,0.0,1.121883656509695,False,True,False,False,False
83.3,85.1,1.9,4.8,40.4,0.0,0.0,True,False,False,False,False
72.3,78.0,0.7,1.0,31.6,0.0,13.222955287030729,False,False,True,False,False
74.6,76.5,3.0,1.0,25.2,-1.0096914013613763,0.0,False,False,True,False,False
80.0,80.7,1.9,4.0,21.2,0.0,9.575154958677686,True,False,False,False,False
78.6,81.1,1.7,0.7,19.6,0.0,4.905978454537976,False,False,True,False,False
86.8,91.6,1.6,5.0,50.8,0.0,0.6000000000000014,False,False,True,False,False
67.5,74.9,1.8,4.8,18.4,0.0,9.428880787259118,False,False,False,True,False
79.0,81.0,4.6,1.3,14.8,0.0,12.053402348188364,False,False,False,False,True
80.2,80.6,3.6,4.5,4.0,0.0,2.9836734693877567,False,False,True,False,False
98.5,98.1,3.4,4.0,31.6,0.0,0.0,True,False,False,False,False
72.9,77.8,3.3,3.5,38.4,0.0,5.898876404494384,False,False,False,True,False
67.3,72.4,3.0,5.7,38.8,0.0,18.979238754325266,False,False,True,False,False
84.8,86.7,1.8,5.3,34.0,-3.33564645726808,0.0,True,False,False,False,False
83.6,82.3,4.1,3.0,54.8,0.0,1.0185185185185155,True,False,False,False,False
71.2,73.1,4.1,5.6,9.6,0.0,16.688040764679734,True,False,False,False,False
64.9,68.3,1.6,0.3,21.6,0.0,0.0,False,False,False,True,False
77.5,82.5,1.2,5.7,30.4,0.0,13.357104959270934,False,False,True,False,False
62.9,72.6,2.2,5.6,39.6,0.0,16.73094418733436,False,False,False,True,False
87.9,89.4,1.8,2.3,23.6,-0.6673525377229055,0.0,True,False,False,False,False
75.5,76.6,2.4,4.6,20.4,-1.693525519848773,0.0,True,False,False,False,False
79.1,78.1,3.5,4.9,34.0,0.0,0.0,True,False,False,False,False
72.7,79.3,1.6,1.5,34.0,0.0,19.711319631665567,False,False,False,True,False
99.5,101.0,2.4,5.2,42.8,0.0,9.317611309287884,True,False,False,False,False
80.3,81.9,1.8,5.1,44.0,0.0,8.493369913122997,False,False,False,True,False
71.5,74.0,3.9,4.3,32.8,0.0,0.6650309917355379,False,False,False,False,True
83.1,85.5,1.2,4.5,16.0,0.0,5.024963017751478,True,False,False,False,False
85.0,85.3,1.2,1.5,35.6,-0.9826989619377144,0.0,True,False,False,False,False
93.6,94.1,3.0,1.3,22.4,0.0,6.31456611570248,True,False,False,False,False
89.7,94.2,1.2,2.2,31.6,0.0,1.7198350694444464,False,False,False,True,False
76.8,79.6,1.2,2.0,32.8,0.0,0.9503973953844636,False,False,True,False,False
88.9,91.0,3.5,2.1,33.2,0.0,18.428859992425195,False,True,False,False,False
81.2,86.4,0.9,4.2,9.2,0.0,7.996432818073721,False,False,True,False,False
63.4,69.6,4.6,2.9,7.2,0.0,8.674869928819938,False,False,False,False,True
85.0,84.1,3.9,0.8,32.4,0.0,0.0,True,False,False,False,False
73.2,78.5,2.5,4.4,44.0,0.0,8.770627852788145,False,False,True,False,False
94.4,93.8,3.4,4.4,19.2,0.0,3.5916824196597332,True,False,False,False,False
73.7,76.6,1.6,0.4,54.4,0.0,13.48194500795855,False,True,False,False,False
83.0,86.1,2.0,2.0,14.0,0.0,0.0,False,False,False,True,False
76.3,79.7,2.0,2.3,26.0,0.0,0.0,False,False,True,False,False
80.2,85.6,1.4,4.5,31.2,0.0,13.884689678340479,False,False,True,False,False
82.9,83.8,1.1,5.0,18.8,0.0,0.0,True,False,False,False,False
80.9,80.9,2.0,2.0,32.4,0.0,0.0,True,False,False,False,False
74.4,75.6,3.1,6.0,21.2,0.0,0.0,False,True,False,False,False
91.4,92.7,2.9,5.0,21.6,-2.3727931190583966,0.0,True,False,False,False,False
78.8,81.1,1.8,0.1,45.6,0.0,0.0,False,False,True,False,False
82.3,80.2,3.8,2.4,16.8,0.0,0.0,True,False,False,False,False
80.4,81.6,2.7,0.2,28.4,0.0,8.925283230860458,False,False,False,False,True
85.0,84.4,2.2,1.2,28.4,0.0,0.744288456471832,True,False,False,False,False
65.1,66.2,1.8,0.3,45.6,0.0,8.50723013900074,False,True,False,False,False
86.6,85.6,2.1,0.5,13.6,0.0,4.626240384340409,True,False,False,False,False
88.7,90.0,3.6,1.5,33.2,0.0,2.099891460383045,False,False,True,False,False
72.9,73.6,4.4,0.7,14.4,-5.25,0.0,False,False,True,False,False
79.4,81.6,2.9,4.7,18.0,0.0,0.0,False,False,False,True,False
84.3,85.8,1.2,0.9,21.2,0.0,10.156116411887425,True,False,False,False,False
73.6,81.6,1.2,0.4,32.0,0.0,23.66454635614378,False,False,False,True,False
80.0,85.3,2.8,5.1,26.8,0.0,0.0,False,False,False,True,False
80.4,81.7,3.8,3.3,12.4,-1.9574454379138864,0.0,False,False,True,False,False
83.0,84.6,3.5,1.4,12.4,-3.0053340263854817,0.0,False,False,True,False,False
91.3,93.2,4.0,4.7,24.0,0.0,3.7706798695809667,False,True,False,False,False
96.3,99.5,2.5,5.7,38.8,0.0,1.6845604069785587,False,True,False,False,False
89.8,88.3,3.0,2.4,20.8,0.0,3.4876543209876516,True,False,False,False,False
75.9,79.3,2.0,3.9,40.4,0.0,0.0,False,False,False,True,False
71.4,72.1,3.7,4.8,24.0,0.0,7.26650803093397,True,False,False,False,False
95.1,97.0,3.7,4.0,29.6,0.0,0.0,False,False,True,False,False
88.4,89.8,3.2,4.8,39.2,0.0,5.9573361082205984,False,False,True,False,False
77.0,80.6,2.3,1.3,6.8,-0.8960302457466938,0.0,False,False,False,True,False
78.9,84.3,4.3,4.5,32.0,0.0,14.039262343842957,False,False,False,True,False
80.0,80.6,2.7,4.9,19.6,0.0,0.0,False,True,False,False,False
71.3,79.4,0.2,2.1,41.2,0.0,20.22787526827421,False,False,True,False,False
88.0,89.8,1.5,5.1,35.2,0.0,7.111029948867788,True,False,False,False,False
84.6,86.6,1.3,0.4,28.4,0.0,14.362538900858382,True,False,False,False,False
86.6,89.9,2.7,1.7,24.0,0.0,3.6010224197266822,False,False,False,False,True
89.8,90.3,2.1,3.9,28.0,0.0,5.280893580921859,True,False,False,False,False
77.6,77.8,3.9,5.1,19.6,0.0,13.028795184843204,True,False,False,False,False
74.1,82.4,0.1,4.7,24.0,0.0,16.043692843663813,False,False,False,True,False
